,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,month,day,hour_UTC,minute_UTC
2230,Advanced Bassoon Studies - Learn to Master the Bassoon!​,True,50,197,0,106,All Levels,6.5,Musical Instruments,2015,4,15,20,24
2231,Blues Guitar Lessons: Play Like the Greats - All Levels,True,20,58,4,47,All Levels,2.5,Musical Instruments,2015,11,17,0,22
2232,Instant Harmonica - play Whiskey in the Jar + Molly Malone!,True,40,21,3,27,All Levels,2.0,Musical Instruments,2016,9,20,15,32
2233,Learn To Play Trumpet Fast Using The Passive Trumpet Tutor,True,50,92,3,71,All Levels,1.5,Musical Instruments,2014,1,27,17,6
2234,Electric Bass Right From The Start,True,100,239,1,9,Beginner Level,0.6666666666666666,Musical Instruments,2016,3,14,16,42
2235,Beginner Guitar Essentials,True,95,5,2,45,Beginner Level,4.5,Musical Instruments,2015,8,6,18,39
2236,Advanced Tuba Studies - Become a Master of the Tuba!​,True,50,173,0,63,All Levels,5.0,Musical Instruments,2015,4,15,17,47
2237,'Greensleeves' Creative Piano Lessons Course,True,20,10,1,8,All Levels,2.0,Musical Instruments,2017,1,3,14,34
2238,Rhythm to Rock Drum Lesson 4,True,20,12,3,12,Beginner Level,1.5,Musical Instruments,2014,8,18,22,6
2239,Hands On Guitar: Beyond Beginner,True,20,54,7,69,Beginner Level,3.0,Musical Instruments,2016,1,22,18,46
2240,Instant harmonica - play Auld Lang Syne the neet (tonight)!,True,40,28,1,13,All Levels,1.0,Musical Instruments,2016,12,22,17,49
2241,Piano The Hard Way -  Fast Way To Life Long Piano Enjoyment,True,25,238,3,22,Beginner Level,1.0,Musical Instruments,2014,2,19,3,46
2242,The Ultimate Method for Learning Modern Piano & Keyboards,True,25,512,3,151,All Levels,2.5,Musical Instruments,2014,11,3,19,25
2243,Master the Bassoon - Intermediate Instruction Made Simple!,True,50,177,3,102,All Levels,7.5,Musical Instruments,2015,4,15,17,12
2244,Oboe Pro Series - You're going to love practicing the Oboe,True,50,61,5,36,All Levels,7.0,Musical Instruments,2016,4,8,23,26
2245,Instant Harmonica - play this classic GAME OF THRONES theme!,True,40,21,2,13,Beginner Level,1.0,Musical Instruments,2017,5,30,13,17
2246,"Trumpet Solos: Learn how to Perform Three Fun, Unique Pieces",True,50,115,6,53,Intermediate Level,2.5,Musical Instruments,2014,3,25,17,19
2247,Learn 4 Vital things that will make your DRUM PLAYING EASIER,True,35,510,1,8,All Levels,0.6166666666666667,Musical Instruments,2015,8,13,20,35
2248,Sax Solos: Learn how to Perform Three Fun and Unique Pieces!,True,50,147,4,39,Intermediate Level,1.0,Musical Instruments,2014,3,17,22,56
2249,Traditional-Style Electric Blues Guitar For Beginners,True,25,9,2,36,Beginner Level,3.0,Musical Instruments,2017,6,22,21,8
2250,Aprende a tocar los mejores solos en la guitarra eléctrica,True,30,5,1,16,All Levels,2.0,Musical Instruments,2014,5,7,21,18
2251,Aprende a tocar la guitarra,True,50,7,1,25,All Levels,1.5,Musical Instruments,2013,2,22,18,19
2252,Aprende a tocar el piano desde cero,True,50,4,0,16,All Levels,4.0,Musical Instruments,2014,4,30,16,15
2253,Aprende a tocar el clarinete.  ,True,50,4,0,26,All Levels,3.0,Musical Instruments,2014,5,19,17,0
2254,Ahora aprende a tocar jazz en el piano,True,30,4,0,9,All Levels,1.5,Musical Instruments,2014,5,9,19,55
2255,こどもギターレッスン　リトルギタリストⅡ,True,20,2,0,47,Beginner Level,3.5,Musical Instruments,2016,2,18,19,19
2256,Aprende a tocar el contrabajo sin complicaciones,True,50,3,1,20,All Levels,3.0,Musical Instruments,2014,5,19,17,2
2257,Aprende a tocar la guitarra eléctrica,True,50,3,0,39,All Levels,5.5,Musical Instruments,2014,4,30,16,21
2258,Aprende a improvisar en la guitarra eléctrica,True,50,3,0,19,All Levels,3.0,Musical Instruments,2014,5,5,21,59
2259,Curso de Teclado,True,40,1,0,26,Beginner Level,1.5,Musical Instruments,2016,5,16,18,46
2260,Guitarra Acústica en Siete Días,True,20,1,1,38,Beginner Level,2.5,Musical Instruments,2016,1,29,20,38
2261,improvisación de Guitarra,True,20,1,0,10,All Levels,1.0,Musical Instruments,2015,3,24,18,59
2262,Step by Step Classical Guitar Course,True,100,9,1,45,Beginner Level,4.5,Musical Instruments,2016,12,8,16,10
2263,Piano With Willie Building Technique with Scales Vol. 4,True,40,44,0,11,All Levels,1.5,Musical Instruments,2016,4,12,23,21
2264,Back In Black the AC/DC Classic Rock Track,True,20,13,1,72,Intermediate Level,2.0,Musical Instruments,2015,4,10,21,7
2265,Keyboard Basics,True,25,17,1,7,All Levels,2.0,Musical Instruments,2014,4,22,0,50
2266,Beginner Guitar Lessons,True,20,118,0,5,Beginner Level,1.0,Musical Instruments,2015,3,23,22,49
2267,Guitar Fundamentals for Beginners,True,25,5,1,11,Beginner Level,2.0,Musical Instruments,2016,2,22,17,33
2268,Easy Piano - learn and play along,True,20,11,1,48,Beginner Level,1.0,Musical Instruments,2014,5,14,1,21
2269,Learn Piano: The Basics of Keyboards,True,20,113,0,24,Beginner Level,1.5,Musical Instruments,2015,1,3,4,18
2270,Bassoon Pro Series - You're going to love practicing Bassoon,True,50,36,0,42,All Levels,6.5,Musical Instruments,2016,4,8,23,34
2271,Acoustic Guitar Lessons For Beginners,True,95,10,3,39,Beginner Level,3.0,Musical Instruments,2016,4,27,17,25
2272,Coach Guitar - Amazing New Way To Learn Guitar With Colors,True,50,12,0,321,All Levels,3.5,Musical Instruments,2016,12,27,14,50
2273,Mastering the Art of Guitar Chords,True,20,78,0,18,Beginner Level,1.5,Musical Instruments,2013,11,18,20,23
2274,30 Day Guitar Jump Start for Success,True,105,31,4,92,Beginner Level,4.0,Musical Instruments,2017,5,24,17,3
2275,Learn to Play Bassoon: Beginner to Pro in Under Four Hours!,True,50,205,11,77,Beginner Level,5.0,Musical Instruments,2015,4,15,16,32
2276,The 7 Day Guitar Method,True,20,213,4,11,All Levels,2.5,Musical Instruments,2015,10,26,19,19
2277,Instant Harmonica - play Star Wars + the Lion Sleeps now!,True,40,33,3,20,All Levels,1.5,Musical Instruments,2016,8,13,12,50
2278,Instant harmonica - play Adele's wonderful 'Hello' today!,True,20,284,3,12,All Levels,1.0,Musical Instruments,2016,5,30,18,19
2279,Guitar Strumming 101 - Have More Fun Playing Songs You Love,True,50,8,2,16,Beginner Level,1.0,Musical Instruments,2017,6,20,19,53
2280,Master Oboe Playing: Intermediate Instruction Made Simple!,True,50,98,6,73,Intermediate Level,5.5,Musical Instruments,2015,1,1,1,25
2281,Drum Set for Beginners,True,20,119,8,26,Beginner Level,3.5,Musical Instruments,2013,10,2,2,34
2282,Guitar Lessons - Economy Picking Essentials,True,35,45,5,15,Intermediate Level,1.5,Musical Instruments,2016,2,15,18,55
2283,Blues Guitar Lessons - Blues Guitar - Robert Johnson,True,20,297,7,7,Intermediate Level,2.5,Musical Instruments,2013,10,7,15,34
2284,TAKE NOTE BEGINNER CLARINET!  –  Fun with Fundamental Skills,True,30,137,2,43,Beginner Level,4.5,Musical Instruments,2016,6,13,15,0
2285,Learn to Play Irish Fiddle,True,60,112,7,63,Beginner Level,5.5,Musical Instruments,2016,1,18,17,7
2286,Hands-On Guitar: The Beginner's Guide,True,20,28,7,72,Beginner Level,4.0,Musical Instruments,2016,1,22,18,49
2287,Slap Bass For Beginners,True,50,79,3,25,All Levels,1.5,Musical Instruments,2016,6,23,16,37
2288,Piano Lessons for Beginners Made Easy,True,25,333,5,40,Beginner Level,3.0,Musical Instruments,2014,5,28,19,7
2289,Horn Pro Series - You're going to love playing French Horn,True,50,48,3,61,All Levels,8.0,Musical Instruments,2016,4,8,23,8
2290,Instant Harmonica - play the Irish tune Whiskey in the Jar!,True,20,41,1,13,All Levels,1.0,Musical Instruments,2015,12,28,20,45
2291,Didgeridoo - from zero to HERO! Part Three. Advanced level.,True,35,209,5,19,Expert Level,1.5,Musical Instruments,2014,10,10,8,5
2292,Saxophone Pro Series - You're going to love practicing Sax,True,50,119,4,32,All Levels,5.5,Musical Instruments,2016,4,8,23,6
2293,Easy Piano for Kids - Complete Beginner Piano Course,True,115,139,8,104,Beginner Level,5.5,Musical Instruments,2015,6,26,22,34
2294,Guitar Lessons - Two Handed Tapping Essentials,True,35,41,2,11,Intermediate Level,1.5,Musical Instruments,2016,2,14,22,9
2295,Clarinet Pro Series - Fall in love with the Clarinet,True,50,95,3,30,All Levels,6.0,Musical Instruments,2016,4,8,22,28
2296,Advanced Trumpet Studies - Learn to Master the Trumpet!​,True,50,184,4,82,Intermediate Level,4.0,Musical Instruments,2014,3,26,4,1
2297,Poldark TV series Soundtracks for Piano-Quicklessons,True,20,8,1,9,Beginner Level,1.0,Musical Instruments,2017,3,16,22,39
2298,Master the Saxophone: Intermediate Instruction Made Simple!,True,50,376,9,86,Intermediate Level,5.5,Musical Instruments,2014,3,17,18,21
2299,You Can Play Jazz Saxophone,True,20,37,7,6,Beginner Level,1.5,Musical Instruments,2017,3,15,16,20
2300,"Improvise Puccini´s 'E Lucevan le Stelle on Piano""",True,20,169,3,16,All Levels,2.0,Musical Instruments,2013,10,21,13,48
2301,Building Up To Barre Chords,True,20,20,6,12,All Levels,0.7166666666666667,Musical Instruments,2017,3,16,22,57
2302,Learn the Violin - Bowing Techniques,True,80,89,6,12,Intermediate Level,0.6666666666666666,Musical Instruments,2016,6,26,23,42
2303,Blues Guitar Lessons - Volume 3 - Minor Blues Essentials,True,45,98,5,14,All Levels,2.0,Musical Instruments,2016,2,13,2,57
2304,Back 2 The Basics,True,50,265,23,65,All Levels,3.0,Musical Instruments,2013,7,19,18,11
2305,Play the Jews Harp - instant skills for non musicians.,True,25,196,16,35,Intermediate Level,2.5,Musical Instruments,2015,1,22,16,6
2306,Master Trumpet Playing: Intermediate Instruction Made Simple,True,50,292,18,130,Intermediate Level,7.0,Musical Instruments,2014,3,24,16,33
2307,Practical Guitar Theory: Level 1,True,60,14,3,41,All Levels,1.5,Musical Instruments,2017,5,1,21,4
2308,Instant harmonica - enjoy playing Silent Night tonight!,True,40,16,3,12,All Levels,0.6333333333333333,Musical Instruments,2016,12,14,21,53
2309,HARP&SOUL  |  Learn the Secrets of the Harmonica,True,35,114,8,59,All Levels,2.0,Musical Instruments,2014,10,1,10,6
2310,"Play Leyenda, Canarios, and Bach on Classical Guitar",True,195,185,8,70,Intermediate Level,7.5,Musical Instruments,2015,11,5,23,30
2311,Instant Harmonica - play the cool tune Dirty Old Town now!,True,40,42,8,17,All Levels,1.5,Musical Instruments,2016,10,12,16,54
2312,Ultimate Beginner Guitar Guide - Both Acoustic & Electric ,True,45,57,9,15,Beginner Level,2.0,Musical Instruments,2016,2,16,17,19
2313,Guitar Lessons : Rock Guitar in 1 Day!,True,50,17,4,37,Beginner Level,1.5,Musical Instruments,2015,12,6,22,37
