,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,month,day,hour_UTC,minute_UTC
0,Ultimate Investment Banking Course,True,200,2147,23,51,All Levels,1.5,Business Finance,2017,1,18,20,58
1,Complete GST Course & Certification - Grow Your CA Practice,True,75,2792,923,274,All Levels,39.0,Business Finance,2017,3,9,16,34
2,Financial Modeling for Business Analysts and Consultants,True,45,2174,74,51,Intermediate Level,2.5,Business Finance,2016,12,19,19,26
3,Beginner to Pro - Financial Analysis in Excel 2017,True,95,2451,11,36,All Levels,3.0,Business Finance,2017,5,30,20,7
4,How To Maximize Your Profits Trading Options,True,200,1276,45,26,Intermediate Level,2.0,Business Finance,2016,12,13,14,57
5,Trading Penny Stocks: A Guide for All Levels In 2017,True,150,9221,138,25,All Levels,3.0,Business Finance,2014,5,2,15,13
6,Investing And Trading For Beginners: Mastering Price Charts,True,65,1540,178,26,Beginner Level,1.0,Business Finance,2016,2,21,18,23
7,"Trading Stock Chart Patterns For Immediate, Explosive Gains",True,95,2917,148,23,All Levels,2.5,Business Finance,2015,1,30,22,13
8,Options Trading 3 : Advanced Stock Profit and Success Method,True,195,5172,34,38,Expert Level,2.5,Business Finance,2015,5,28,0,14
9,The Only Investment Strategy You Need For Your Retirement,True,200,827,14,15,All Levels,1.0,Business Finance,2017,4,18,18,13
10,Forex Trading Secrets of the Pros With Amazon's AWS,True,200,4284,93,76,All Levels,5.0,Business Finance,2015,9,11,16,47
11,Trading Options With Money Flow,True,200,1380,42,17,All Levels,1.0,Business Finance,2016,10,18,22,52
12,Financial Management Risk and Return For Securities,True,30,3607,21,19,All Levels,1.5,Business Finance,2016,2,3,18,4
13,Forex Trading Course: Work Smarter Not Harder Proven Results,True,195,4061,52,16,All Levels,2.0,Business Finance,2016,3,16,15,40
14,Python Algo Trading: Sentiment Trading with News,True,200,294,19,42,All Levels,7.0,Business Finance,2017,4,28,16,41
15,Short Selling: Learn To Sell Stocks Before The Fall,True,75,2276,106,19,Intermediate Level,1.5,Business Finance,2015,6,22,21,18
16,Basic Technical Analysis: Learn the structure of the market,True,20,4919,79,16,Beginner Level,1.5,Business Finance,2016,1,8,17,21
17,The Complete Chart Pattern Trading Course: A Proven Approach,True,200,2666,115,52,All Levels,4.0,Business Finance,2015,8,10,21,7
18,7 Deadly Mistakes of Investing that Will Slash Your Profits!,True,50,5354,24,23,All Levels,1.5,Business Finance,2015,9,21,18,10
19,Financial Statements Made Easy,True,95,8095,249,12,Beginner Level,0.5833333333333334,Business Finance,2013,6,9,0,21
20,Winning Forex Trading with Live Forex Trading Examples,True,200,809,3,25,All Levels,2.0,Business Finance,2017,6,6,2,54
21,Forex Traders - Create Your First Trading Robot. No Coding!,True,200,2295,84,39,All Levels,4.0,Business Finance,2016,5,2,19,26
22,Create A Business From Home Trading Stocks Today In 2017,True,75,10149,83,16,All Levels,2.0,Business Finance,2015,5,26,17,25
23,Introduction to Accounting : Mastering Financial Statements,True,50,1916,38,23,Beginner Level,1.0,Business Finance,2016,12,5,22,14
24,The Complete Ethereum Course: Get .01 Ether In Your Wallet,True,45,2507,333,40,All Levels,2.0,Business Finance,2016,5,30,18,53
25,Beginner to Pro in PowerPoint: Complete PowerPoint Training,True,150,5786,518,50,All Levels,5.0,Business Finance,2015,1,31,15,34
26,Investing 101: The Complete Online Investing Course,True,200,5334,373,42,All Levels,4.5,Business Finance,2014,11,28,17,49
27,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,True,175,4005,237,25,Intermediate Level,2.0,Business Finance,2015,4,12,20,13
28,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),True,150,2877,103,81,All Levels,4.5,Business Finance,2016,4,26,22,41
29,Forex Trading: Your Complete Guide to Get Started Like a Pro,True,140,1026,25,37,Beginner Level,3.0,Business Finance,2017,6,27,22,21
30,Python Algo Stock Trading: Automate Your Trading!,True,95,1165,21,41,Beginner Level,2.5,Business Finance,2017,5,28,23,41
31,THE Forex Robot: Incredible ROI (Robot Included),True,200,1843,171,35,All Levels,1.5,Business Finance,2016,10,4,15,20
32,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,True,45,8797,449,80,All Levels,6.5,Business Finance,2015,1,9,3,55
33,Mastering High Probability Iron Condor Options Trading,True,200,1030,11,22,All Levels,2.0,Business Finance,2017,6,1,5,22
34,The Complete Short Course on Ethereum,True,200,1041,12,28,All Levels,1.5,Business Finance,2017,6,11,19,2
35,Options Trading Stocks: Proven Toolbox For Financial Success,True,195,7884,118,68,Intermediate Level,10.0,Business Finance,2015,5,19,23,25
36,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,True,195,16900,2476,52,Beginner Level,5.5,Business Finance,2014,12,12,23,58
37,"Introduction to Finance, Accounting, Modeling and Valuation",True,200,11441,1118,61,All Levels,4.5,Business Finance,2016,6,28,6,12
38,Beginner to Pro in Excel: Financial Modeling and Valuation,True,195,22257,2697,138,All Levels,7.5,Business Finance,2014,11,25,23,0
39,The Complete Investment Banking Course 2017,True,195,8575,809,110,All Levels,5.5,Business Finance,2016,10,10,16,16
40,The Complete Financial Analyst Course 2017,True,195,24481,2347,174,All Levels,10.0,Business Finance,2016,1,21,1,38
41,Python for Finance: Investment Fundamentals & Data Analytics,True,195,3811,278,103,All Levels,6.5,Business Finance,2017,3,30,22,17
42,Financial Modeling for Startups & Small Businesses,True,195,4991,137,79,Beginner Level,11.5,Business Finance,2017,3,29,22,36
43,Options Trading - How to Win with Weekly Options,True,115,7489,1190,25,Intermediate Level,1.0,Business Finance,2015,10,22,21,54
44,Black Algo Trading: Build Your Trading Robot,True,200,20195,1113,227,All Levels,16.0,Business Finance,2014,10,27,22,1
45,Accounting & Financial Statement Analysis: Complete Training,True,150,10042,594,43,All Levels,3.0,Business Finance,2015,10,22,0,3
46,Cryptocurrency Trading: Complete Guide To Trading Altcoins,True,95,367,42,35,All Levels,5.0,Business Finance,2017,6,21,23,18
47,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,True,200,10603,872,42,All Levels,5.5,Business Finance,2014,10,12,21,19
48,Three Steps Trading - Live Trading - Real Account,True,190,1197,11,46,All Levels,5.0,Business Finance,2017,5,24,23,2
49,Option Trading for Rookies:  Understand Options Completely,True,150,2893,65,62,All Levels,2.0,Business Finance,2016,8,10,15,27
50,How I Learned Stock Trading (and How You Can Too),True,200,1580,12,53,Expert Level,2.0,Business Finance,2017,5,2,21,20
51,Learn to Trade for Profit: Find and Trade Winning Stocks,True,95,10605,71,77,All Levels,3.0,Business Finance,2014,10,24,18,13
52,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,True,125,2996,200,23,Intermediate Level,2.0,Business Finance,2015,3,9,0,24
53,Four Fundamentals of Financial Planning,True,30,6219,23,20,All Levels,1.0,Business Finance,2017,2,14,4,42
54,Options Trading - Calendar Spread Course for Every Trader,True,200,1113,11,17,All Levels,1.5,Business Finance,2017,4,2,21,46
55,Dividend Investing: Build Your Portfolio for a Better Future,True,60,8314,83,47,Beginner Level,4.0,Business Finance,2015,1,24,6,31
56,Learn Accounting. Understand Business.,True,200,5572,123,33,Beginner Level,5.5,Business Finance,2014,3,27,17,58
57,How to Consistently Win Trading Stocks in 30 Days or Less,True,145,1433,169,15,Intermediate Level,1.0,Business Finance,2016,5,9,5,44
58,A Beginner's Guide to Quantopian Futures API,True,20,936,6,11,Intermediate Level,1.5,Business Finance,2017,4,11,0,59
59,How to Buy Cheap Options - Options Trading Pricing Model,True,200,658,2,19,All Levels,1.0,Business Finance,2017,6,2,18,12
60,Excel Crash Course: Master Excel for Financial Analysis,True,105,8121,689,40,All Levels,3.5,Business Finance,2016,10,18,0,51
61,"Comprehensive Guide to Financial Markets, Investing &Trading",True,60,4187,600,79,Beginner Level,9.0,Business Finance,2016,2,29,18,45
62,Stock Trading Ninja: Complete System For Trading Success,True,155,9445,497,38,All Levels,4.5,Business Finance,2014,2,19,19,4
63,Hedge and Mutual Fund Careers: The Complete Guide,True,200,3255,340,102,All Levels,8.5,Business Finance,2016,6,20,20,17
64,Algorithmic Trading In Forex: Create Your First Forex Robot!,True,185,7941,713,40,All Levels,6.5,Business Finance,2014,8,11,8,1
65,The Power Modeling Bootcamp: Advanced Excel in 10 Days,True,150,1680,158,76,All Levels,5.5,Business Finance,2016,11,26,4,9
66,Options Trading Basics (3-Course Bundle),True,180,10100,985,45,Beginner Level,11.0,Business Finance,2013,2,25,11,36
67,How to Win 97% of Your Options Trades,True,125,5050,461,26,All Levels,1.5,Business Finance,2015,2,10,4,21
68,How I Make Consistent Returns Trading Options,True,200,2310,162,26,All Levels,3.5,Business Finance,2016,10,5,17,42
69,"Forex Strategies: Kelly Criterion, Larry Williams and more!",True,185,5528,506,32,All Levels,3.0,Business Finance,2015,2,19,11,31
70,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",True,125,6451,237,28,All Levels,5.0,Business Finance,2014,4,16,13,58
71,Options Trading Introduction: Day Trade Stock Options,True,95,12394,218,30,Beginner Level,2.5,Business Finance,2015,2,20,21,39
72,The Almost Perfect Options Trading Strategy System - Unique,True,200,1793,18,15,All Levels,1.0,Business Finance,2017,3,3,21,43
73,Forex Trading -  Learn to Trade Forex Like the Banks,True,20,3223,240,23,All Levels,1.0,Business Finance,2016,3,30,15,29
74,Learn to Trade for Profit:Trading with Japanese Candlesticks,True,60,16385,273,45,Beginner Level,3.0,Business Finance,2014,9,2,3,53
75,The Most Powerful Options Spread Trading Front Ratio Spread,True,200,1487,16,18,All Levels,2.0,Business Finance,2017,3,8,21,9
76,What Finance Job is for You? Explanation of 14 Finance Roles,True,200,2951,232,60,All Levels,4.0,Business Finance,2016,5,4,5,22
77,The Blueprint for Successful Stock Trading,True,120,2697,331,15,All Levels,1.0,Business Finance,2015,8,13,18,58
78,Trading for Beginners - Intermediate Level,True,150,3979,40,39,Beginner Level,5.0,Business Finance,2016,11,9,1,45
79,Start Trading Stocks Using Technical Analysis!,True,25,3190,244,45,All Levels,4.0,Business Finance,2016,2,3,17,10
80,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,True,200,1406,71,54,Expert Level,1.5,Business Finance,2017,1,18,20,55
81,VPS for Forex Trading - Protect Your Forex Robots,True,160,4252,225,24,All Levels,2.0,Business Finance,2014,9,19,4,7
82,Introduction to Accounting: The Language of Business,True,20,11958,370,134,Beginner Level,11.5,Business Finance,2014,10,2,9,16
83,Basic Excel for Basic Bookkeeping and Accounting,True,95,7743,340,33,Beginner Level,1.5,Business Finance,2015,9,10,0,30
84,"Using 'The Greeks To Understand Options""",True,50,2134,55,5,All Levels,1.0,Business Finance,2016,7,13,18,37
85,Trading Options For Consistent Returns: Calendar Spreads,True,200,1214,69,20,All Levels,1.5,Business Finance,2016,10,7,4,58
86,How to Create Your Personal Budget,True,20,3870,53,10,All Levels,1.0,Business Finance,2016,3,21,21,9
87,The Complete Value Investing Course: A Proven Approach,True,200,2146,212,49,All Levels,4.5,Business Finance,2015,6,16,22,43
88,FOREX Trading with Price Action,True,195,484,57,19,Beginner Level,1.0,Business Finance,2017,3,14,18,30
89,Emini ES Futures - Advanced Non Directional Options Trading,True,200,1057,15,14,All Levels,1.5,Business Finance,2017,1,11,20,48
90,Forex Trading - Advanced Fundamental Analysis,True,20,1754,100,49,Intermediate Level,2.5,Business Finance,2016,6,30,17,6
91,How To Invest With Tiny Capital In Stocks ?,True,20,1239,5,6,Beginner Level,0.7,Business Finance,2017,5,23,16,7
92,Learn How To Successfully Trade Stocks: In 5 Simple Steps,True,95,2493,276,108,All Levels,9.5,Business Finance,2015,1,31,19,2
93,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,True,150,2602,402,57,Beginner Level,5.0,Business Finance,2015,10,28,17,32
94,Intermediate Options trading concepts for Stocks and Options,True,40,2000,30,9,All Levels,1.0,Business Finance,2015,4,13,20,28
95,Options Trading 101: The Basics,False,0,1514,66,11,Beginner Level,0.55,Business Finance,2017,3,23,22,19
96,Practical Accounts APP Overview,True,20,1361,1,14,Intermediate Level,3.0,Business Finance,2016,10,4,23,38
97,Bitcoin Profits for Beginners,True,100,61,18,30,Beginner Level,1.5,Business Finance,2017,6,9,17,1
98,Trend Traders Club: How To Find And Trade Fast Moving Trends,True,75,1513,31,60,All Levels,5.5,Business Finance,2015,8,4,19,16
99,Financial Statements Basics,True,20,1374,19,9,Beginner Level,2.0,Business Finance,2016,1,14,18,58
100,High performance Stock Trading using key Options techniques,True,40,2103,15,6,All Levels,1.5,Business Finance,2015,4,12,22,28
101,Introduction to Financial Statement Analysis,True,20,1480,25,25,Beginner Level,1.5,Business Finance,2016,3,21,17,0
102,Basics of Economics (College Level),True,25,2516,12,20,All Levels,1.5,Business Finance,2015,1,8,13,55
103,Stock Market Investing for Beginners,False,0,50855,2698,15,Beginner Level,1.5,Business Finance,2013,12,25,19,53
104,Accounting for Beginners : Learn Basics in under 1 Hour,True,50,1971,13,20,Beginner Level,1.5,Business Finance,2015,12,3,17,8
105,Straddle Options Trading - Profit in Any Market Direction,True,200,837,9,19,All Levels,1.0,Business Finance,2016,10,3,17,32
106,Fundamentals of Forex Trading,False,0,17160,620,23,All Levels,1.0,Business Finance,2014,8,29,20,10
107,"Binary Options: Trading Strategies, 90% Accuracy and Signals",True,195,1723,38,24,Beginner Level,1.0,Business Finance,2015,12,14,18,29
108,Website Investing 101 - Buying & Selling Online Businesses,False,0,6811,151,51,All Levels,2.0,Business Finance,2016,8,5,17,3
109,Practical Accounts & Bookkeeping Automated Overview ,True,20,2060,17,30,All Levels,4.5,Business Finance,2016,1,28,21,43
110,Live Account - ETF Trading System - Hacking The Stock Market,True,150,2318,19,16,All Levels,5.0,Business Finance,2014,12,31,3,29
111,Stock Market Leverage: How to Start Trading Options Wisely,True,95,2153,14,13,Beginner Level,1.5,Business Finance,2015,7,27,18,39
112,Stock Market Foundations,False,0,19339,794,9,Beginner Level,2.0,Business Finance,2014,3,31,21,35
113,Crash Course on Working Capital Management,True,20,3177,8,8,All Levels,1.0,Business Finance,2015,4,16,17,35
114,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,True,150,1535,16,462,All Levels,62.0,Business Finance,2016,6,3,17,42
115,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,True,20,1027,29,25,All Levels,1.5,Business Finance,2016,7,18,22,38
116,How to create a routine Trading,True,25,307,8,5,All Levels,0.1333333333333333,Business Finance,2017,5,1,18,50
117,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",True,150,2096,48,29,All Levels,0.6833333333333333,Business Finance,2015,8,24,22,16
118,Forex SOS Course: Trading Tweaks And Working Forex Strategy,True,50,1315,48,59,Beginner Level,2.5,Business Finance,2015,11,18,22,40
119,Introduction to Financial Modeling,False,0,29167,1463,8,Intermediate Level,1.5,Business Finance,2014,5,27,16,22
120,Quantitative Aptitude for Banking & Competitive Examinations,True,50,1056,1,42,All Levels,3.0,Business Finance,2017,2,9,19,33
121,Option Spreads and Credit Spreads Bundle,True,180,2212,194,24,Expert Level,4.5,Business Finance,2013,3,5,18,27
122,B Com Accountancy I (Paper ECO 02 IGNOU),True,50,2946,6,284,All Levels,31.5,Business Finance,2016,5,5,23,7
123,FOREX TRADING - Learn in a quick + profitable way + support,True,100,271,48,47,All Levels,3.5,Business Finance,2017,2,20,23,45
124,Auditing Basics (Professional Course Level),True,25,3771,10,35,All Levels,2.5,Business Finance,2015,2,13,14,37
125,Stock market Investing Encyclopedia: How to invest in stocks,True,200,3143,11,39,Intermediate Level,3.0,Business Finance,2015,11,10,22,55
126,Learn the basics of preparing accounting statements,True,20,1951,30,20,Intermediate Level,0.55,Business Finance,2015,10,13,21,7
127,Elliott Wave -Forex Trading With The Elliott Wave Theory,True,90,4022,35,14,Expert Level,1.0,Business Finance,2016,12,15,15,49
128,Corporate Finance - A Brief Introduction,False,0,11724,649,17,Beginner Level,1.5,Business Finance,2016,3,4,5,58
129,Excel functions to analyze and visualize data,True,20,2283,54,16,Intermediate Level,2.0,Business Finance,2015,4,20,18,52
130,Building Financial Statements in Excel,True,35,1181,1,18,Beginner Level,1.0,Business Finance,2017,6,29,23,34
131,Transfer Pricing A Complete Analysis,True,50,1852,3,14,All Levels,2.5,Business Finance,2016,12,28,18,19
132,Accounting: Get Hired Without Work Experience,True,100,4661,187,20,All Levels,1.0,Business Finance,2014,9,1,21,43
133,Forex Trading for Beginners - Basics,True,50,989,9,11,All Levels,1.0,Business Finance,2017,4,24,16,42
134,Basic Bookkeeping Hacks,True,20,5841,16,28,All Levels,1.5,Business Finance,2016,6,14,15,43
135,Complete Trading Plan Course for Stocks & Forex (10 Hours),True,200,1087,14,61,All Levels,9.5,Business Finance,2017,3,23,5,54
136,"Forex Trading with Fixed 'Risk through Options Trading""",True,200,611,4,26,Beginner Level,1.0,Business Finance,2017,6,7,17,15
137,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",True,60,1922,149,15,All Levels,20.0,Business Finance,2016,1,21,1,25
138,How to Pick The Right Penny Stocks To Invest In 2017,True,150,9015,65,23,All Levels,2.5,Business Finance,2014,7,1,20,4
139,Top 10 Trading Ideas in the Equities Market,True,20,661,4,12,All Levels,1.0,Business Finance,2017,5,2,21,59
140,Intro to Financial Modeling,True,105,1077,110,55,Beginner Level,6.0,Business Finance,2016,8,19,20,12
141,Shark Accounting - Building a Business by the Numbers!,True,20,6050,140,17,Beginner Level,1.5,Business Finance,2014,5,18,19,8
142,Forex Trading MAKE YOUR FIRST TRADE TODAY!,True,150,3523,46,45,All Levels,4.0,Business Finance,2016,1,10,21,39
143,Accounting in 60 Minutes - A Brief Introduction,False,0,56659,4397,16,Beginner Level,1.5,Business Finance,2013,4,7,21,39
144,SAP FICO For Beginners - A Guide to SAP Financial Accounts,True,100,1444,101,59,Beginner Level,5.0,Business Finance,2016,7,25,16,8
145,Learn how to double your Forex Trading Account in one trade,True,60,2900,424,36,Intermediate Level,2.5,Business Finance,2014,10,19,22,4
146,"Accounting Superpowers: Learn Accounts, Understand Business!",True,200,1437,96,34,Beginner Level,2.5,Business Finance,2016,8,8,22,23
147,Python Algo Trading: FX Trading with Oanda,True,200,453,42,33,Intermediate Level,3.0,Business Finance,2017,3,14,0,39
148,Save on Your Taxes,True,20,2437,12,23,All Levels,1.5,Business Finance,2016,11,16,17,38
149,Financial Model Basics: Build a model from start to finish,True,30,5057,142,13,Beginner Level,1.0,Business Finance,2015,2,6,7,12
150,Option Trading for Rookies: The Covered Call Option Strategy,True,95,6092,25,29,Beginner Level,1.5,Business Finance,2016,11,3,5,22
151,EFT for Stock Options Trading Success & Making Better Trades,True,95,4530,13,31,All Levels,1.5,Business Finance,2015,8,6,19,8
152,Learn to Trade the Stock Market without Blowing Your Profits,True,60,6967,16,34,All Levels,1.0,Business Finance,2017,5,2,20,53
153,Get a Credit Repair Publication On Amazon and Live LIFE..,True,20,727,11,25,Beginner Level,3.0,Business Finance,2017,4,26,18,17
154,Fundamentals of Accounting,True,20,1560,43,25,All Levels,3.0,Business Finance,2016,8,31,22,3
155,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",True,200,1047,9,46,All Levels,3.5,Business Finance,2017,1,26,22,55
156,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,True,125,1045,2,17,Intermediate Level,1.0,Business Finance,2017,4,24,21,59
157,Accounting 101: How to read an Accounting Balance Sheet,True,200,3050,86,22,Beginner Level,2.0,Business Finance,2015,1,27,9,27
158,Stock Options Day Trading Mindset for Success,True,200,2988,21,43,All Levels,4.5,Business Finance,2015,9,29,19,15
159,Introduction to bookkeeping and Accounting,True,35,2623,158,20,Beginner Level,1.0,Business Finance,2015,8,21,20,33
160,Learn to Trade The News,True,200,1924,351,544,All Levels,46.5,Business Finance,2015,7,16,22,3
161,"Value Investing, Taught by Six Superinvestors",True,200,3804,267,66,All Levels,5.0,Business Finance,2015,6,19,21,22
162,Trading for everyone - The Independent Investor Course I,True,120,4133,15,36,Beginner Level,4.0,Business Finance,2015,10,8,20,23
163,Get Acquired: Learn From The Head Of Acquisitions For eBay,True,195,1420,70,29,All Levels,2.5,Business Finance,2016,4,28,18,4
164,Stock Market investment: Practical Accounting,True,125,1120,6,43,Beginner Level,3.0,Business Finance,2017,1,23,17,4
165,"How to remove 'Risk from Penny Stocks - Options Trading""",True,200,668,12,22,All Levels,1.0,Business Finance,2017,2,7,0,45
166,Accounting Basics in 66 Minutes (absolutely for beginners),True,25,4086,31,14,All Levels,1.5,Business Finance,2015,3,8,21,13
167,"Tax Accounting: Difficult Topic, Made Easy to Understand",True,200,1033,10,29,All Levels,2.0,Business Finance,2017,1,11,16,17
168,Analysis of Company Financial Statements,True,20,832,34,34,All Levels,1.5,Business Finance,2016,12,7,20,19
169,Forex Trading Like Banks – Step by Step with Live Examples,True,195,677,45,40,All Levels,4.5,Business Finance,2016,12,18,16,13
170,Fundamentals of Investing!,True,20,3125,54,13,Beginner Level,2.0,Business Finance,2015,8,9,18,34
171,Bank Financial Management A Comprehensive Study,True,50,1081,6,21,All Levels,1.5,Business Finance,2017,2,10,0,51
172,Learn to Trade Forex and Stocks: From Beginner to Advanced,True,200,1645,25,42,All Levels,2.0,Business Finance,2016,9,7,20,33
173,"Master 'Technical Analysis and Chart reading skills Bundle""",True,120,3348,352,13,All Levels,3.0,Business Finance,2013,2,25,21,38
174,Naked Put Options Trade Covered Call & Poor Man Covered Call,True,200,939,7,19,All Levels,1.5,Business Finance,2017,2,10,22,40
175,The Ultimate Guide to Dividend & Dividend Growth Investing,True,200,2115,59,88,All Levels,5.5,Business Finance,2015,11,13,18,10
176,Charting for Beginners 101: Technical Analysis Demystified,True,45,2230,102,10,All Levels,1.5,Business Finance,2015,10,9,21,27
177,Build a DCF Valuation Model,True,50,2053,234,44,All Levels,5.5,Business Finance,2014,10,1,18,49
178,Introductory Financial Accounting,True,80,1793,265,54,Beginner Level,10.0,Business Finance,2012,10,3,3,20
179,Introduction to Cryptocurrencies and Blockchain,False,0,3775,138,11,Beginner Level,2.0,Business Finance,2017,5,1,21,18
180,Trade Pullback Candlestick Strategy - Make Consistent Pips,True,200,521,67,24,All Levels,3.0,Business Finance,2016,2,24,17,30
181,Accounting Standards Basics (Professional Course Level),True,20,2222,9,12,All Levels,0.7,Business Finance,2015,2,7,15,6
182,Use the Magic Multiple Moving Average Forex Trading system,True,50,1097,252,10,Intermediate Level,1.0,Business Finance,2014,11,8,2,21
183,QuickBooks 2015 Training for Newbies,True,200,2506,21,76,Beginner Level,6.0,Business Finance,2015,5,11,23,16
184,TRADING PSYCHOLOGY: Trading Mindset Mastery,True,120,975,23,23,Intermediate Level,1.0,Business Finance,2015,9,30,18,57
185,Option Trading: How to Adjust Delta-Neutral Strangles!,True,145,1398,15,26,All Levels,1.5,Business Finance,2015,10,19,23,1
186,Profitable binary option trading strategy,True,195,1096,24,24,All Levels,1.5,Business Finance,2015,10,29,0,34
187,Tax Strategy: Financial Planning for Beginners,True,200,1703,59,25,All Levels,2.0,Business Finance,2014,11,4,1,37
188,Accounting 2 Simplified for You,True,45,1446,23,27,Beginner Level,5.0,Business Finance,2014,12,9,8,31
189,Project Funding Modelling (for Professionals),True,20,2736,3,8,All Levels,1.5,Business Finance,2014,12,29,9,0
190,Investing: How I Consistently Beat The Stock Market,True,200,2000,31,34,All Levels,4.5,Business Finance,2014,12,11,20,35
191,Bookkeeping Basics:  Understand the Fundamentals,True,75,853,45,48,Beginner Level,4.5,Business Finance,2016,11,6,22,33
192,Leasing - A Comprehensive Study (Professional Course Level),True,20,3094,2,22,All Levels,3.5,Business Finance,2015,7,17,22,10
193,Trading Options For Consistent Returns: Options Basics,False,0,4077,281,20,Beginner Level,1.5,Business Finance,2016,8,18,21,57
194,TechniTrader Leading Hybrid Indicator Trading,True,20,4117,54,5,Intermediate Level,1.0,Business Finance,2013,4,4,21,36
195,Financial modeling: Build a DCF equity valuation model,True,20,1369,17,31,All Levels,1.5,Business Finance,2016,3,6,21,33
196,CryptoArbitrager: Bitcoin Trading Robot (no mining),True,150,1224,42,14,All Levels,0.55,Business Finance,2016,3,23,21,13
197,Accounting Is Easy (for Beginners),True,20,3870,12,90,All Levels,9.0,Business Finance,2014,5,20,18,13
198,Non Directional Weekly Options Trading System - ETF & Emini,True,200,897,22,21,All Levels,2.0,Business Finance,2016,5,24,15,43
199,The Complete Position Trading Course: Position Trading Stock,True,45,1311,36,5,All Levels,1.0,Business Finance,2016,1,15,18,10
200,Master Iron Condors - Double the credit for half the risk,True,60,1338,139,7,Expert Level,1.0,Business Finance,2013,3,2,13,27
201,Basics of investing in Mutual Funds,True,20,1589,26,42,Intermediate Level,1.5,Business Finance,2015,3,3,1,22
202,A Value Investing Approach to the Stock Market,True,20,1189,12,15,All Levels,1.5,Business Finance,2015,2,19,20,40
203,Learn how to INVEST for huge profits or make it big trading!,True,50,701,12,37,All Levels,5.5,Business Finance,2015,6,19,22,49
204,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",True,50,1105,3,54,Intermediate Level,6.0,Business Finance,2015,2,11,6,52
205,Mastering Candlestick Charting : High Probability Trading,True,50,123,16,35,All Levels,2.0,Business Finance,2015,9,22,0,5
206,Binary Options Course - Level 2,False,0,5874,207,9,Intermediate Level,2.0,Business Finance,2014,6,26,2,0
207,Stock Technical Analysis with R,True,50,354,32,49,All Levels,7.0,Business Finance,2016,3,18,20,46
208,"Get to know the VIX Index (aka 'The Fear Index)""",True,60,727,64,9,All Levels,1.0,Business Finance,2013,3,8,11,42
209,Apply finance concepts for smart project management,False,0,3465,161,24,Beginner Level,2.0,Business Finance,2016,2,23,21,5
210,Introduction to Futures Trading and Live Trade Demonstration,True,60,54,4,6,Expert Level,0.7166666666666667,Business Finance,2017,5,24,14,16
211,Crowdfunding to Win,True,40,627,15,15,All Levels,1.5,Business Finance,2015,9,23,22,16
212,Comprehensive Forex Mastery Program,True,45,650,107,97,All Levels,10.0,Business Finance,2013,2,7,19,50
213,Preparation of Consolidated Financial Statements (Basic),False,0,965,0,18,Intermediate Level,1.5,Business Finance,2017,6,28,20,37
214,Succeed in Bonds Even if You Don't Know Where to Start,True,200,1113,6,8,All Levels,1.0,Business Finance,2017,2,3,4,34
215,Learn to Trade for Profit: Ten Most Profitable Trading Rules,True,95,739,28,45,All Levels,2.0,Business Finance,2014,12,23,15,28
216,Succeed in Lotto Even if You Don't Know Where to Start!,True,20,1201,12,18,All Levels,1.5,Business Finance,2017,5,11,22,19
217,CFA Corporate Finance Level 2,True,50,2474,6,128,All Levels,17.5,Business Finance,2015,7,7,20,35
218,Pin Bars: The Most Powerful Forex Trading Signal,True,200,494,16,19,All Levels,1.0,Business Finance,2016,8,10,13,10
219,Stock Options Trades Using Interactive Brokers,True,95,1580,26,14,Intermediate Level,1.0,Business Finance,2015,9,7,20,21
220,Introduction to Options - Strategies For Consistent Profits,True,40,617,44,55,All Levels,4.5,Business Finance,2015,8,16,22,14
221,Risk in Forex Transactions - for CA / CS / CFA exams,True,20,2235,3,9,All Levels,1.0,Business Finance,2015,9,29,17,27
222,Basics of Business Statistics (College Level),True,20,2293,9,28,All Levels,2.0,Business Finance,2015,1,6,13,5
223,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",True,200,1094,8,13,Beginner Level,2.0,Business Finance,2016,3,30,4,56
224,Interpreting Financial Statements,True,20,1449,29,23,Beginner Level,1.5,Business Finance,2013,6,6,21,50
225,Introduction to Bookkeeping (Accounting),True,20,3251,10,59,Beginner Level,12.0,Business Finance,2014,1,31,20,40
226,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,True,60,607,55,16,Intermediate Level,2.0,Business Finance,2013,3,5,11,31
